"Date","Open","High","Low","Close","Volume"
"1/4/2011","581.950012","583.075012","569.049988","572.375","2502868"
"1/5/2011","572.625","582.950012","570.875","579.474976","3069674"
"1/6/2011","584","591","576.549988","585.849976","2846720"
"1/7/2011","588","593.424988","569.075012","571.325012","2532724"
"1/10/2011","573.75","574.5","560.5","565.450012","3952426"
"1/11/2011","561.5","567.775024","543.900024","549.25","3768730"
"1/12/2011","554.950012","575.799988","554","567.974976","3160874"
"1/13/2011","564.474976","577.974976","558.099976","562.125","5589198"
"1/14/2011","564.950012","575","560","560.075012","3151692"
"1/17/2011","560.599976","573.275024","560","568.700012","3000212"
"1/18/2011","587","604.450012","582.174988","601.275024","8481370"
"1/19/2011","601.724976","604.5","592.5","596.5","2952040"
"1/20/2011","590","609.375","590","606.099976","4545208"
"1/21/2011","605","610","602","605.825012","2597404"
"1/24/2011","600","610","599.125","604.599976","2016678"
"1/25/2011","607.400024","609.650024","590","594.275024","2467094"
"1/27/2011","593.775024","604.974976","590.799988","599.700012","4714118"
"1/28/2011","597.5","601.799988","582.625","590.674988","3014578"
"1/31/2011","584.5","584.5","564.275024","579.75","5940816"
"2/1/2011","582.5","582.5","566.5","575.075012","4212708"
"2/2/2011","585","599.450012","581.174988","591.224976","3937618"
"2/3/2011","592.349976","597.849976","585.325012","591.849976","1883412"
"2/4/2011","588","591.549988","570.125","574.400024","3457600"
"2/7/2011","586.75","586.75","563.25","565.575012","2578382"
"2/8/2011","566","574.950012","559.25","562.549988","5288638"
"2/9/2011","561.25","564.799988","541.849976","549.150024","6012732"
"2/10/2011","550","557.25","536","545.375","4551822"
"2/11/2011","542.049988","552.099976","527.950012","544.799988","2945056"
"2/14/2011","545.5","560","543.5","556.150024","2462548"
"2/15/2011","559.5","559.5","538.275024","548.849976","3625426"
"2/16/2011","552.5","554.849976","540.5","548.25","2464592"
"2/17/2011","552.5","557.224976","546.200012","554.599976","1477760"
"2/18/2011","555.125","566.200012","541.049988","544.849976","4076928"
"2/21/2011","545","574","529.099976","569.299988","5657800"
"2/22/2011","561.325012","573.849976","560","569.375","3305400"
"2/23/2011","564.075012","572.474976","561.549988","562.775024","1879344"
"2/24/2011","559.5","569.375","545.650024","555.900024","5378830"
"2/25/2011","552.650024","558.5","544.125","555.025024","3070474"
"2/28/2011","550.599976","574.125","550","555.125","3229396"
"3/1/2011","556.5","566","548.799988","562.25","3167804"
"3/3/2011","559.950012","577.5","553.5","575.099976","3452600"
"3/4/2011","581.674988","581.674988","566.25","567.775024","2061198"
"3/7/2011","562","562.5","547.224976","554.125","4184588"
"3/8/2011","552.575012","564.400024","552.575012","558.849976","3947902"
"3/9/2011","561.275024","569","559.25","563.349976","2424486"
"3/10/2011","561","561","550","554.275024","1871324"
"3/11/2011","550","551.200012","531.650024","538.525024","5012882"
"3/14/2011","535.5","551","529.200012","548.775024","3248618"
"3/15/2011","537.5","547.724976","532.825012","544.900024","3411868"
"3/16/2011","546","561.724976","545.575012","557.424988","2677874"
"3/17/2011","552.5","559.450012","546.325012","549","2056102"
"3/18/2011","546.75","554.5","538.049988","541.375","2211348"
"3/21/2011","545.75","545.75","533.25","535.400024","2619090"
"3/22/2011","537.549988","540","531.5","534.75","2657774"
"3/23/2011","535.5","535.5","528.625","532.174988","4352248"
"3/24/2011","535.5","547.775024","535","546.700012","3094834"
"3/25/2011","558.424988","564.25","551.875","559.825012","4146434"
"3/28/2011","561.924988","563.349976","554","559.950012","2248642"
"3/29/2011","560","575.950012","559.575012","569.349976","3159588"
"3/30/2011","574","582","572.450012","575.974976","2294770"
"3/31/2011","576","599","576","591.950012","7394126"
"4/1/2011","592.5","599.375","586.275024","590.075012","1799624"
"4/4/2011","592.5","608","592","606.599976","2311616"
"4/5/2011","607.525024","621.974976","601.875","619.924988","2891014"
"4/6/2011","619.5","623.474976","607.075012","610.924988","2422352"
"4/7/2011","610","610","597.575012","599.599976","2149016"
"4/8/2011","598.450012","607","592.375","598","1983768"
"4/11/2011","590.075012","597.5","587.650024","589.200012","2256232"
"4/13/2011","587.5","610.700012","587.150024","605.049988","3757530"
"4/15/2011","608.450012","609.950012","590","595.700012","7566770"
"4/18/2011","599","606.25","570.025024","572.299988","7765454"
"4/19/2011","572.299988","584.700012","570","582.349976","3120224"
"4/20/2011","589.900024","612","589.775024","609.349976","5338548"
"4/21/2011","620.5","622.900024","585.424988","596.049988","17333968"
